,time,source_date,security_identifier,maturity,position,bbg,industry_group
0,2026-02-06 23:00:00.001,2026-02-06,EVQX6,2074-01-01,37844.0,BBGF575853,Industrial
1,2026-02-06 23:00:00.001,2026-02-06,BZQX7,2079-06-04,47285.0,BBGF151934,Telecommunication Service
2,2026-02-06 23:00:00.001,2026-02-06,AXQX7,2060-10-06,46900.0,BBGF820255,Financial
3,2026-02-06 23:00:00.001,2026-02-06,AXBF6,2045-10-01,38117.0,BBGF525523,Financial
4,2026-02-06 23:00:00.001,2026-02-06,CQHN6,2039-11-03,21605.0,BBGF940530,Health Car
5,2026-02-06 23:00:00.001,2026-02-06,CQHN6,2027-02-06,25622.0,BBGF554137,Information Technolog
6,2026-02-06 23:00:00.001,2026-02-06,CQTY7,2027-05-05,26767.0,BBGF105486,Consumer Discretionar
7,2026-02-06 23:00:00.001,2026-02-06,ZYMP7,2064-08-04,47139.0,BBGF239407,Information Technolog
8,2026-02-06 23:00:00.001,2026-02-06,ZYJC7,2058-11-07,31613.0,BBGF973332,Consumer Discretionar
9,2026-02-06 23:00:00.001,2026-02-06,JRHN7,2068-06-02,43370.0,BBGF750308,Information Technolog
10,2026-02-06 23:00:00.001,2026-02-06,JRQX7,2034-05-04,39901.0,BBGF727083,Telecommunication Service
11,2026-02-06 23:00:00.001,2026-02-06,JRLK7,2071-11-05,30589.0,BBGF320184,Industrial
12,2026-02-06 23:00:00.001,2026-02-06,4829A3,2062-08-03,33918.0,BBGF766490,Industrial
13,2026-02-06 23:00:00.001,2026-02-06,5827X9,2075-03-04,40119.0,BBGF449652,Materials
14,2026-02-06 23:00:00.001,2026-02-06,2547H3,2056-10-03,47446.0,BBGF861315,Utilities
15,2026-02-06 23:00:00.001,2026-02-06,6915H2,2053-10-02,45736.0,BBGF742612,Industrial
16,2026-02-06 23:00:00.001,2026-02-06,2156V6,2050-06-01,33046.0,BBGF422710,Industrial
17,2026-02-06 23:00:00.001,2026-02-06,3684K1,2047-07-02,44818.0,BBGF297775,Consumer Staple
18,2026-02-06 23:00:00.001,2026-02-06,3156F5,2050-02-03,22590.0,BBGF389336,Consumer Staple
19,2026-02-06 23:00:00.001,2026-02-06,KLJC7,2066-04-02,37447.0,BBGF887494,Materials
20,2026-02-06 23:00:00.001,2026-02-06,6395R4,2078-04-06,24324.0,BBGF708364,Utilities
21,2026-02-06 23:00:00.001,2026-02-06,4782T5,2055-07-03,30787.0,BBGF189780,Health Car
22,2026-02-06 23:00:00.001,2026-02-06,4518K7,2049-09-03,29111.0,BBGF252617,Consumer Staple
23,2026-02-06 23:00:00.001,2026-02-06,0014T4,2049-09-03,25342.0,BBGF645977,Health Car
24,2026-02-06 23:00:00.001,2026-02-06,1421H4,2043-06-05,36389.0,BBGF897606,Energy
25,2026-02-06 23:00:00.001,2026-02-06,2095N8,2048-10-02,43873.0,BBGF450605,Consumer Staple
